Sample,Subgroup,19:3363749-3971503,16:68606309-68648091,6:80170446-80661257,3:193425674-193467200,6:18550170-19001738,12:74728500-75387573,19:10213505-10628317,22:41293579-41298170,8:36512939-36612488,18:2427324-2694258,16:67314736-68371045,8:35875555-36133992,17:35076296-35282086,21:13461550-13635227,12:85986743-87258350,1:16954838-16997273,20:15036230-15158545,23:1702016-1706462,3:164454066-166625316,3:12735694-14873985,16:68710277-68751390,1:37599215-38399540,20:59844907-60188644,1:3521345-3798798,12:42221157-42337973,20:771302-1487457,3:196908262-196937230,1:143543580-144966156,19:3983752-5360390,19:17377353-17885285,6:19049822-20716660,1:199087690-199111062,11:76858917-77204725,2:165662108-171006374,12:64727853-66012212,6:32732764-32738443,5:70716278-70721505,1:149579637-149582884,18:36996895-42435594,5:154006451-157875296,3:41249898-46752789,4:119714411-119812578,4:69215734-69311985,22:41307174-41912419,15:44193179-48393597,23:83340047-88078465,23:152552851-152570071,16:86985669-88124384,1:116880909-116906096,7:40225102-41541560,1:193480150-193527058,6:32766023-32821094,4:171088261-178331211,16:191307-2499608,18:18979399-19204173,1:74137824-74816963,2:132974227-139709714,3:4109224-4214897,6:1358498-1359129,16:29063624-29528190,14:22022060-22034704,10:46396163-46568496,17:78572201-78653545,17:1859252-1859812,6:32672983-32702995,22:41221190-41290227,2:174901679-180212390,6:252939-284743,1:72489681-72620747,5:152572508-153979903,18:18594203-18968555,5:51881238-54336548,9:210253-528529,17:37055494-37151062,1:48841029-48963712,16:41636-151666,15:32605086-32654561,17:23641542-23815398,7:158528292-158617983,5:802518-826044,9:21698371-22292223,22:17298569-17337860,8:35694285-35751327,7:38212614-38223575,7:43002620-45737633,12:70574871-71644041
Array.6,HER2+,0,0,-1,0,1,-1,0,0,0,0,0,0,2,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,1,0,0,1,-1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,-1,0,1,1,1,-1,0,0,0,0,0,1,0,-1,0,-1,-1,1,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,-1,0,0,1,1,0
Array.39,HR+,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,-1,0,0,-1,1,0,-1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,-1,0,0,1,0,-1,1,0,1,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,-1,0,1,1,0,0,0,0,0,0,0,0,0,0
Array.112,Triple Neg,0,0,0,1,-1,0,0,1,0,1,0,0,-1,0,0,1,0,-1,0,-1,-1,-1,0,0,-1,0,1,0,0,0,0,0,0,0,0,1,-1,1,-1,-1,-1,0,-1,1,-1,2,2,0,0,0,0,1,-1,0,0,-1,0,-1,-1,1,0,0,1,-1,1,1,0,0,-1,-1,0,-1,0,-1,-1,0,0,-1,0,1,0,0,0,0,0,0
Array.79,HER2+,0,-1,0,0,0,0,0,-1,-1,-1,-1,-1,2,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,1,0,-1,0,0,1,1,-1,1,0,0,-1,-1,0,1,1,-1,0,0,1,0,0,1,-1,0,-1,0,0,-1,0,-1,-1,-1,0,-1,-1,-1,0,1,-1,1,0,-1,0,1,-1,2,0,2,0,-1,-1,0,0,0
Array.124,HR+,0,0,0,-1,0,1,1,0,2,0,1,2,0,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0,1,1,-1,1,0,1,-1,0,0,2,1,0,0,1,1,0,1,1,1,0,1,-1,0,1,0,1,1,1,0,0,1,0,0,1,1,0,-1,0,2,1,0,2,1,-1,-1,0,-1,1,1,1
Array.19,HER2+,0,1,0,0,0,1,0,0,-1,-1,1,-1,2,0,-1,0,0,0,0,0,1,-1,1,-1,-1,0,0,1,0,0,0,0,0,0,1,0,-1,1,0,0,0,0,-1,0,0,1,1,0,1,0,1,0,0,0,0,-1,0,0,0,0,0,1,0,-1,0,0,0,-1,-1,1,0,-1,-1,-1,0,0,0,-1,0,1,-1,0,-1,0,0,0
Array.27,HR+,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,-1,0,0,0,1,0,-1,0,0,-1,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Array.69,Triple Neg,-1,-1,-1,0,-1,0,-1,-1,-1,-1,2,-1,1,0,0,-1,0,0,0,0,-1,-1,0,-1,0,0,-1,1,-1,-1,-1,1,0,0,0,1,-1,1,-1,-1,0,0,0,-1,-1,1,1,-1,1,0,1,-1,0,1,-1,-1,0,0,-1,1,-1,0,1,0,-1,-1,0,1,-1,-1,-1,1,-1,1,-1,1,-1,1,0,0,-1,0,-1,0,0,0
Array.73,HER2+,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,-1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,-1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
Array.95,HR+,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,-1,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,0,0,-1,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,-1,-1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1,1,1
Array.98,HR+,1,-1,-1,1,1,1,1,-1,1,1,-1,1,0,0,1,0,1,0,1,1,-1,0,1,0,1,1,1,1,1,1,1,1,-1,0,1,1,1,1,1,1,1,0,0,-1,0,1,1,-1,0,0,1,1,0,1,1,0,0,1,1,1,0,1,0,1,1,-1,0,1,0,1,1,1,1,0,0,1,0,0,0,1,1,-1,1,0,0,1
Array.33,HR+,0,1,1,0,0,0,0,-1,-1,0,1,-1,-1,-1,0,0,-1,0,0,0,-1,-1,-1,-1,0,-1,0,1,0,0,0,1,0,0,2,0,0,1,0,0,0,1,-1,-1,1,1,2,0,-1,1,-1,0,0,1,0,-1,0,0,0,1,1,0,-1,-1,0,-1,0,0,-1,0,0,0,1,0,-1,1,-1,0,0,1,-1,-1,-1,1,1,1
Array.138,HER2+,0,1,-1,0,1,1,0,0,1,-1,0,-1,2,0,1,0,1,0,0,0,0,2,-1,-1,1,1,0,1,0,0,1,1,0,0,1,1,-1,1,-1,0,0,-1,-1,0,1,1,1,0,1,0,1,1,-1,1,-1,1,0,0,1,1,0,-1,-1,-1,1,0,0,1,1,0,-1,-1,0,-1,0,1,1,1,0,0,-1,0,0,0,0,1
Array.101,HR+,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,2,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,-1,0,0,1,1,0,0,2,1,1,0,1,0,0,1,1,1,1,2,1,0,1,1,0,1,1,-1,1,0,1,1,0,0,1,1,0,1,1,1,0,0,2,2,1
Array.90,Triple Neg,-1,0,0,0,0,0,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,1,0,0,0,-1,1,-1,-1,0,1,1,-1,-1,0,1,0,0,0,1,0,1,-1,0,0,0,-1,-1,-1,2,2,0,-1,-1,1,1,0,0,-1,-1,0,0,-1,0,0,0,0,-1,0,0,0,-1,-1,0,-1,0,0,-1,-1,0,-1,-1,0,-1,0,-1,-1,-1,-1,0
Array.57,Triple Neg,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,-1,2,0,-1,0,0,1,1,0,0,1,1,0,0,0,-1,0,1,0,0,1,-1,-1,0,-1,1,1,0,-1,1,1,1,-1,0,0,2,0,1,1,0,0,0,0,0,1,0,0,-1,-1,0,0,0,0,0,2,0,-1,0,1,-1,0,0,0,1,1,0
Array.105,HER2+,0,0,0,0,0,0,0,0,-1,0,0,-1,2,1,0,-1,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,1,0,0,0,-1,1,1,0
Array.85,HR+,0,-1,0,0,0,0,0,0,1,0,-1,0,0,0,0,1,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,-1,0,0,1,1,-1,0,0,0,0,0,1,1,0,0,0,1,0,-1,0,-1,-1,0,0,0,0,-1,0,1,-1,-1,-1,0,1,-1,0,-1,0,-1,-1,0,0,0,0
Array.114,Triple Neg,0,0,0,1,0,0,0,-1,-1,-1,0,-1,-1,0,0,0,0,-1,1,-1,0,-1,0,-1,0,-1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,1,1,-1,0,0,1,0,-1,1,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,1,-1,0,0,0,-1,-1,-1,1,-1,-1,0,0,-1,0,-1,0,0,0
Array.56,HR+,-1,-1,-1,1,0,0,-1,-1,2,-1,-1,1,-1,-1,0,-1,1,0,0,1,-1,-1,0,-1,0,1,1,1,-1,-1,0,-1,0,-1,0,0,0,2,-1,0,-1,0,-1,-1,-1,1,1,-1,-1,0,1,0,0,1,-1,-1,-1,1,0,1,0,-1,0,0,0,-1,-1,0,-1,0,-1,0,-1,-1,-1,1,-1,-1,-1,0,-1,-1,1,0,0,0
Array.5,Triple Neg,-1,-1,-1,0,1,0,-1,0,-1,0,0,-1,-1,0,0,-1,-1,0,0,-1,-1,0,-1,-1,0,-1,0,0,-1,0,1,0,-1,0,0,0,-1,1,0,-1,-1,0,-1,0,-1,1,1,1,-1,-1,-1,0,-1,-1,0,0,0,1,1,0,-1,-1,1,-1,-1,0,0,0,0,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0
Array.141,HR+,0,-1,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-1,0,0,0,0,0,0,1,1,-1,0,0,1,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
Array.43,HR+,0,-1,-1,0,-1,0,0,0,2,0,-1,2,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,1,0,0,0,1,1,0,0,1,1,-1,0,0,-1,-1,1,1,0,0,0,0,-1,1,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0
Array.159,Triple Neg,-1,0,0,-1,1,-1,0,0,-1,1,0,-1,-1,0,-1,0,-1,1,1,-1,0,1,0,-1,1,-1,-1,1,-1,0,1,0,1,0,-1,0,-1,1,0,-1,-1,-1,0,0,0,1,1,0,0,0,0,0,-1,-1,1,0,0,-1,0,0,0,0,-1,-1,0,0,0,0,0,-1,1,0,-1,-1,0,-1,0,-1,0,1,-1,0,-1,0,0,-1
Array.88,Triple Neg,-1,0,-1,0,1,-1,-1,0,0,-1,0,0,1,0,-1,1,1,-1,0,-1,0,0,1,0,1,1,0,1,-1,0,1,-1,1,0,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,2,1,0,0,1,-1,0,0,0,-1,-1,-1,-1,1,0,0,0,-1,0,0,0,-1,0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0,-1,0,0,1,1,-1
Array.125,HER2+,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Array.50,Triple Neg,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,-1,1,1,0,1,0,1,0,0,1,2,1,0,1,1,1,0,0,0,1,0,2,0,1,0,1,1,1,0,2,2,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,-1,1,0,-1,1,0,0,0,0,0,1,-1,1,0,0,0,0,0
Array.23,HR+,0,0,-1,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,1,-1,1,1,-1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,-1,1,1,-1,-1,0,1,0,0,1,0,-1,1,-1,0,1,0,1,0,-1,0,0,0,0,0,-1,1,1
Array.68,HER2+,0,-1,0,0,0,0,0,0,-1,0,-1,-1,2,0,0,-1,0,1,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-1,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,-1,0,-1,0,0,0,0,0,-1,0,-1,0,0,0
Array.153,Triple Neg,-1,-1,0,0,1,-1,-1,0,-1,1,-1,-1,-1,0,-1,0,0,0,0,-1,-1,1,0,-1,-1,-1,0,1,0,0,1,0,0,0,-1,1,-1,1,0,-1,0,0,-1,0,-1,2,0,1,0,-1,0,1,0,0,0,0,0,-1,0,1,1,1,1,0,1,0,0,0,0,-1,0,-1,-1,-1,0,0,-1,-1,0,1,-1,0,-1,-1,-1,-1
Array.51,HER2+,0,0,1,0,1,0,0,1,0,0,0,0,2,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,-1,1,1,1,1,0,1,2,0,1,0,2,0,0
Array.37,HR+,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,-1,-1,0,1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0
Array.78,HER2+,0,0,0,0,0,0,0,-1,-1,0,0,-1,2,0,0,0,-1,0,0,0,0,0,1,0,0,-1,0,1,0,0,0,0,-1,0,0,0,-1,1,0,0,0,0,0,-1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,0,-1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-1,0,0,0
Array.75,HER2+,1,0,0,0,0,-1,0,0,-1,-1,0,-1,2,0,1,0,-1,0,0,-1,-1,0,0,0,0,-1,-1,0,0,0,0,-1,-1,0,0,-1,-1,1,-1,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,-1,0,-1,0,0,-1,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,0,0,-1,0,0,-1,-1,0,1,-1,0,-1,0,0,0
Array.139,HER2+,0,-1,0,0,0,0,0,0,-1,-1,-1,-1,2,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-1,0,0,0,0,0,0,1,1,-1,0,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,1,0,1,0,0,0,0,-1,0,0,0
Array.2,HR+,0,0,-1,1,-1,1,0,-1,0,-1,0,0,1,0,0,1,1,0,1,0,-1,0,1,0,1,1,1,1,0,0,-1,1,0,-1,0,-1,0,0,-1,1,-1,0,0,-1,-1,-1,1,-1,-1,0,1,-1,-1,0,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,1,-1,-1,0,0,-1,-1,0,-1,-1,0,0,0,0
Array.117,HR+,0,-1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,1,0,0,0,0,0,0,0,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
Array.60,HR+,0,-1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Array.38,Triple Neg,0,0,0,0,-1,-1,-1,-1,-1,0,0,-1,-1,0,-1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,-1,0,-1,-1,-1,0,-1,-1,-1,1,1,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,-1,-1,0,0,0,-1,1,-1,-1,-1,0,0,-1,-1,0,2,-1,0,-1,1,1,0
Array.72,HER2+,0,0,-1,0,0,1,0,0,-1,0,0,-1,2,0,0,0,1,0,0,0,0,0,1,0,0,1,-1,1,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0
Array.104,Triple Neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,-1,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0
Array.137,HR+,0,-1,0,0,0,0,0,-1,0,0,-1,0,0,0,0,1,0,0,-1,-1,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,-1,0,1,1,-1,0,0,1,0,-1,0,0,0,0,-1,0,0,-1,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Array.145,Triple Neg,-1,-1,-1,-1,0,-1,0,-1,-1,0,-1,-1,0,0,-1,0,0,-1,0,-1,0,1,1,-1,-1,0,1,1,-1,1,0,1,0,0,-1,0,-1,1,0,-1,-1,0,-1,-1,-1,1,1,0,0,0,1,0,-1,0,0,-1,-1,0,-1,-1,0,0,0,1,0,-1,0,0,-1,-1,0,-1,1,0,1,0,-1,0,1,-1,1,0,-1,0,0,-1
Array.31,Triple Neg,0,1,1,1,1,0,0,1,2,1,1,2,0,0,0,1,1,1,1,1,2,1,0,1,0,1,1,1,0,1,1,-1,2,1,0,1,0,2,1,0,0,0,-1,1,0,2,2,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,-1,0,1,0,0,0,1,0,-1,0,1,2,-1,1,2,0,0,0
Array.135,Triple Neg,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,-1,1,0,2,2,0,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,-1,0,1,0,1,0,1,0,-1,0,1,0,1,0,1,0,0,0
Array.21,HER2+,0,0,0,0,1,1,0,1,-1,0,0,-1,2,0,0,-1,0,0,0,0,-1,0,2,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,1,2,0,-1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,2,0,0,0,0,1,1,1,0,0,-1,1,1,0
Array.59,HR+,0,-1,-1,0,-1,0,0,-1,2,0,0,2,0,0,0,0,-1,0,0,0,-1,-1,0,-1,0,-1,-1,0,0,0,-1,-1,-1,-1,0,-1,0,1,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,-1,0,0,0,-1,-1,0,-1,0,0,-1,-1,0,-1,-1,-1,-1,-1,0,0,0,-1,0,-1,0,-1,0,0,-1,-1,0,2,0,0,0
Array.71,Triple Neg,-1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,-1,-1,0,0,1,0,-1,1,1,-1,1,0,1,1,0,0,0,-1,1,-1,-1,-1,0,0,1,0,1,1,0,0,-1,1,0,0,0,-1,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,1,0,-1,0,0,-1,-1,0
Array.107,Triple Neg,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,0,-1,0,0,1,0,0,-1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,-1,1,0,-1,0,0,-1,-1,-1,1,1,-1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,1,0,-1,0,0,0,0,0,1,0,-1,1,0,0,-1,-1,0,0,0
Array.30,Triple Neg,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,0,-1,1,0,1,1,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Array.93,Triple Neg,1,-1,1,1,1,0,1,0,-1,1,0,-1,0,0,0,1,0,1,1,-1,-1,1,0,0,0,0,1,1,1,1,1,1,0,1,0,1,-1,2,1,0,-1,0,-1,0,0,1,1,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,2,0,1,0,0,1,0,0,1,0,2,0,1,0,0,0,0,0,2,0,-1,1,1,0
