Sample,Subgroup,6:90034143-91964331,11:89400624-89482692,17:35076296-35282086,15:55258039-57620619,4:191062719-191134340,12:85986743-87258350,10:16276793-18410505,15:63158011-63872459,6:132048194-133414796,15:76887995-78887127,2:57141220-60843704,1:158319014-158365270,1:142877399-143526765,8:37028146-37290782,10:16134020-16227462,22:26999547-27819338,3:4109224-4214897,1:244947984-244955806,12:64727853-66012212,2:91494116-91569435,8:8117271-8132139,16:82128902-83298645,17:78572201-78653545,3:193425674-193467200,12:84542006-85443011,1:79437815-80901791,22:41917843-42643973,1:244693374-244865778,4:69215734-69311985,5:104851801-108410768,1:149591108-149598429,8:63810-90816,6:31564655-32119501,10:21880427-21920526,17:34268102-34553000,6:29962849-30010234,1:149579637-149582884,7:50712505-53062228,1:199087690-199111062,16:68667006-68679377,12:70574871-71644041,1:120313797-120384620,9:68214035-68262872,14:42076777-43555063,11:103640528-105452607,5:173739318-175537148,5:763494-786455,8:35875555-36133992,15:39590440-39979013,16:191307-2499608,12:100382347-103227744,9:133035531-133066438,16:68606309-68648091,15:41676219-44156737,16:30561643-31835555,16:14956177-14988855,1:244870377-244942436,18:46023418-47316297,6:4651403-4923955,20:34883639-35743960,16:48783687-49225359,18:2427324-2694258,6:26071233-26265245,1:25354765-25402278,10:87744912-88215734,16:86985669-88124384,9:17369886-19203822,8:39368509-39505256,1:244961779-244970723,1:16954838-16997273,6:18550170-19001738,3:196908262-196937230,1:149369522-149394958,2:56853626-57106587,4:190887518-191025356,16:68710277-68751390,15:32605086-32654561,6:110408187-110448454,6:66559986-66839246,6:19049822-20716660,16:31854837-31862577,9:153131-194193,16:33495501-33539023,5:17739874-17979702,10:89707445-89727363,22:37683612-37705310,14:105857193-105881279,17:77503378-77503685,17:76653190-76693851,9:42913008-43066618,1:244627520-244676774,8:22663858-23132039,17:8567837-9872633,11:107409719-109050102,1:83381408-83603746,1:72489681-72620747,1:239391358-239517083,1:142116690-142435868,16:55038003-56457183,17:11469879-12854787
Array.48,HR+,-1,-1,1,1,0,1,0,0,0,0,0,1,1,2,0,-1,-1,1,1,0,-1,0,0,1,1,0,-1,1,-1,0,1,-1,0,0,1,0,1,0,-1,-1,1,0,-1,1,-1,1,0,-1,1,0,1,0,-1,1,1,-1,1,1,0,0,0,1,0,1,-1,0,-1,0,1,0,0,0,0,0,0,-1,1,0,-1,0,1,-1,1,0,-1,-1,-1,0,1,0,1,-1,-1,-1,1,-1,1,0,0,-1
Array.6,HER2+,-1,0,2,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,-1,-1,-1,0,0,0,0,1,0,0,1,-1,0,1,-1,1,1,1,-1,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,1,-1,1,0,1,0,0,0,1,0,0,-1,0,1,1,0,1,0,-1,0,-1,-1,0,0,-1,1,1,-1,1,0,0,-1,0,0,0,0,1,0,-1,-1,0,0,0,0,0,-1
Array.39,HR+,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,-1,0,0,0,-1,0,1,-1,0,1,0,0,0,0,0,1,0,1,-1,0,1,0,0,0,0,0,0,0,1,0,0,-1,0,1,0,1,0,0,0,-1,0,0,-1,0,-1,0,1,1,-1,0,0,1,0,0,-1,0,0,0,0,1,-1,1,0,0,-1,-1,0,0,0,1,0,0,0,-1,-1,1,1,-1,0
Array.112,Triple Neg,0,-1,-1,-1,-1,0,0,-1,-1,-1,1,-1,0,0,0,0,-1,1,0,0,1,0,1,1,0,-1,1,1,-1,-1,1,0,1,0,-1,1,1,0,0,0,0,0,0,0,-1,-1,1,0,-1,0,-1,0,0,-1,0,0,1,-1,0,0,0,1,0,1,-1,0,0,0,1,1,-1,1,-1,1,-1,-1,0,-1,0,0,0,0,0,1,-1,-1,-1,1,1,0,1,0,-1,-1,-1,-1,1,0,0,-1
Array.79,HER2+,-1,0,2,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,0,0,0,-1,-1,-1,-1,0,0,0,-1,0,-1,1,1,-1,0,0,0,0,1,0,1,-1,0,0,0,0,0,1,2,-1,-1,1,0,0,-1,0,-1,0,0,-1,0,0,-1,-1,0,0,0,-1,0,1,0,0,0,0,1,0,0,-1,-1,1,0,0,-1,0,-1,1,0,-1,0,-1,-1,0,0,-1,-1,0,0,0,0,0,-1,-1
Array.124,HR+,0,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,-1,1,1,1,0,1,1,-1,1,0,0,1,-1,0,1,0,0,1,0,1,1,1,0,0,1,1,0,1,-1,0,-1,2,0,1,1,0,0,0,1,0,1,-1,0,1,0,0,1,1,0,0,-1,-1,1,1,0,1,-1,1,0,0,0,0,0,0,1,-1,0,0,0,1,1,2,2,1,1,-1,0,-1,1,0,0,1,0,0
Array.19,HER2+,0,0,2,0,0,-1,0,0,0,0,0,1,1,-1,0,0,0,1,1,0,-1,0,0,0,-1,0,0,1,-1,-1,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,-1,1,-1,0,0,0,0,1,0,0,0,1,0,0,0,0,-1,0,-1,0,0,-1,-1,1,0,0,0,1,0,0,1,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,0,0,0,-1
Array.27,HR+,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,-1,0,0,0,0,-1,0,0,0,0,1,0,0,-1,0,1,1,1,0,0,0,-1,0,0,0,0,-1,0,-1,1,0,0,0,1,0,0,-1,0,0,0,0,1,0,1,0,0,-1,0,0,0,0,1,0,0,-1,0,0,1,0,-1,0
Array.95,HR+,0,0,0,1,0,1,-1,1,0,1,0,1,1,0,-1,0,0,1,1,1,0,0,0,0,1,0,0,1,-1,1,1,0,0,-1,0,0,1,1,1,0,1,0,1,1,0,1,0,0,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,-1,1,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,-1,1,1,0,0
Array.98,HR+,-1,-1,0,0,0,1,0,0,-1,0,0,1,1,1,0,-1,1,1,1,0,1,-1,0,1,1,0,-1,1,0,1,1,1,1,0,0,1,1,0,1,-1,1,0,1,0,-1,1,1,1,0,1,1,1,-1,0,1,1,1,1,1,1,-1,1,1,0,1,-1,1,2,1,0,1,1,-1,0,0,-1,0,-1,1,1,1,1,1,1,1,-1,0,0,0,1,1,1,0,-1,0,0,1,1,-1,0
Array.33,HR+,0,0,-1,1,0,0,0,1,0,0,1,1,1,-1,0,-1,0,1,2,1,-1,0,-1,0,0,-1,-1,1,-1,0,1,-1,0,0,-1,1,1,1,1,1,1,1,0,1,-1,0,1,-1,1,1,0,0,1,1,1,0,1,0,0,-1,1,0,0,1,0,0,-1,0,1,0,0,0,1,1,0,-1,-1,0,1,0,1,1,1,1,0,-1,1,1,1,0,1,-1,-1,-1,-1,-1,1,1,1,-1
Array.138,HER2+,-1,0,2,1,-1,1,0,1,-1,1,0,1,1,1,0,0,0,1,1,0,0,0,-1,0,1,1,0,1,-1,-1,1,-1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,-1,1,1,1,1,1,1,1,1,1,-1,1,1,0,-1,1,-1,0,0,-1,-1,1,0,1,0,2,0,-1,0,1,-1,1,1,1,0,0,-1,0,0,0,-1,-1,0,1,-1,-1,0,1,1,1,1,0,-1
Array.90,Triple Neg,0,0,-1,-1,0,-1,0,-1,0,-1,0,1,1,-1,0,-1,0,2,0,0,-1,0,0,0,-1,-1,-1,2,-1,0,1,-1,0,0,-1,0,1,-1,1,0,0,1,0,0,0,0,-1,-1,-1,0,0,0,0,-1,0,0,2,-1,-1,0,0,-1,0,-1,0,0,0,1,2,-1,0,1,-1,0,0,0,-1,0,0,0,0,0,-1,0,0,-1,-1,0,0,1,1,-1,-1,0,-1,-1,1,1,0,-1
Array.57,Triple Neg,1,0,0,-1,-1,0,0,-1,1,-1,0,1,1,0,0,0,1,2,0,0,0,0,0,1,0,-1,0,2,-1,0,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,-1,0,-1,2,0,1,0,0,0,1,-1,0,0,0,0,1,-1,1,1,-1,0,-1,-1,-1,1,1,1,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,-1,-1,1,1,0,0
Array.105,HER2+,0,0,2,0,0,0,1,0,0,0,0,1,0,-1,1,0,0,1,0,0,-1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,-1,0,0,0,1,1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,1,1,1,-1,0,0,0,-1,1,0,0,0
Array.85,HR+,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,-1,1,0,0,-1,0,1,-1,0,-1,1,0,-1,0,0,0,0,-1,-1,-1,0,1,0,0,1,0,0,-1,-1,-1,0,0,1,-1,0,-1,0,-1,-1,1,0,0,0,-1,-1,0,0,-1,0,0,-1,-1
Array.8,HR+,-1,-1,0,0,1,1,0,1,0,0,0,1,0,2,0,0,0,1,0,0,-1,0,1,0,1,0,0,1,-1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,-1,0,0,-1,-1,1,1,0,0,-1,1,1,1,0,0,-1,0,0,0,0,0,0,-1,-1,1,0,0,0,1,0,1,0,-1,0,0,0,1,-1,1,0,-1,-1,-1,1,2,0,1,-1,-1,-1,0,1,0,0,0,-1
Array.113,Triple Neg,-1,1,0,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,0,0,-1,0,0,0,0,-1,-1,0,-1,0,-1,-1,-1,-1,0,0,-1,0,-1,0,0,-1,0,-1,1,0,0,-1,-1,0,0,0,0,-1,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0,1,-1,0,-1,-1,-1,-1,-1,0,0,-1,0,-1,-1,-1,1,0,0,0,-1,-1,1,-1,-1,-1,-1,0,-1
Array.148,HER2+,0,0,2,0,1,0,0,0,0,0,0,2,0,-1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,-1,0,0,-1,-1,0,-1,-1,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,1,-1,0,1,1,2,0,1,-1,-1,-1,0,-1,1,0,-1,1,1,0,0,1,0,0,0,0,1,1,-1,1,0,-1,-1,-1,1,1,0,0,-1,-1,0,0,0,0,0,0,-1
Array.25,Triple Neg,0,0,1,-1,-1,-1,0,0,0,0,1,1,1,-1,0,0,1,0,-1,-1,-1,0,0,0,-1,0,0,1,0,-1,1,-1,0,0,1,0,1,0,-1,-1,-1,1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0,0,0,-1,0,0,0,0,-1,-1,-1,0,-1,0,-1,0,-1,0,1,-1,-1,0,-1,-1,0,0,0,0,0,-1,0,-1,0,0,-1,0,-1,1,0,0,0,-1,1,-1,1
Array.141,HR+,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,-1,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,-1,1,-1,0,0,0,-1,0,0,0,-1,0,1,1,0,0,0,1,0,0,-1,0,0,0,0,0,-1,-1,0,0,-1,-1,0,0,1,1,0,0,0,0,0,1,1,0,0
Array.43,HR+,-1,0,0,0,1,0,0,0,-1,0,0,0,0,2,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,1,0,1,-1,-1,0,0,-1,1,0,0,-1,0,0,0,0,0,0,0,2,0,1,0,0,-1,0,1,0,0,0,-1,0,-1,0,-1,1,0,-1,0,2,0,0,-1,0,-1,0,1,-1,0,-1,-1,-1,1,0,1,0,0,-1,-1,0,0,0,0,-1,0,0,0,0,0,0,-1,0
Array.159,Triple Neg,0,-1,-1,0,-1,-1,0,0,-1,0,0,1,1,-1,0,1,-1,1,-1,0,-1,0,-1,-1,-1,0,-1,1,0,-1,1,0,0,0,-1,1,1,1,0,0,-1,0,0,0,-1,-1,1,-1,-1,-1,-1,0,0,-1,0,-1,1,0,0,0,0,1,0,1,-1,0,-1,-1,1,0,1,-1,-1,0,-1,0,0,-1,0,1,0,-1,0,1,-1,0,-1,-1,-1,1,1,-1,0,-1,0,0,1,1,0,0
Array.88,Triple Neg,-1,0,1,0,0,-1,1,0,-1,0,1,0,0,0,1,0,-1,1,-1,0,-1,0,-1,0,-1,0,-1,1,-1,-1,0,0,0,1,-1,0,0,1,-1,0,-1,0,-1,0,0,-1,0,0,-1,0,-1,0,0,-1,0,-1,1,-1,1,1,0,-1,1,-1,-1,0,-1,-1,1,1,1,0,1,1,-1,0,-1,0,-1,1,0,-1,0,1,-1,-1,-1,-1,0,-1,0,-1,0,0,0,-1,0,0,0,0
Array.125,HER2+,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
Array.50,Triple Neg,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,0,0,1,1,1,0,2,0,1,1,0,1,2,0,1,1,0,1,1,1,0,1,-1,0,0,0,0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,2,1,1,0,1,0,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,0,0,0,0,-1,1,1,1,0
Array.23,HR+,-1,0,1,0,0,1,-1,0,-1,0,0,1,1,1,-1,0,0,1,1,0,1,0,-1,0,1,0,0,1,1,-1,1,-1,0,-1,-1,0,1,0,1,0,1,1,0,1,0,-1,0,0,0,1,-1,0,0,0,1,1,1,1,0,1,0,1,0,0,-1,0,0,0,1,0,0,0,2,0,0,0,0,-1,-1,0,1,0,1,1,-1,0,-1,1,-1,1,1,-1,-1,0,0,0,1,1,0,-1
Array.68,HER2+,0,0,2,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,1,0,0,-1,0,1,1,0,0,-1,0,0,2,0,0,0,0,-1,0,-1,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,-1,0,-1,-1,-1,0,-1,0,0,-1,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,1,1,2,0,-1,-1,0,-1,-1,0,-1,-1,-1
Array.94,HR+,-1,0,0,0,0,1,0,0,-1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,-1,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,-1,0,1,0,0,0,1,0,-1,0,0,-1,1,0,0,2,0,0,0,0,0,0,-1,1,0,1,0,0,2,0,0,0,0,-1,0,0,0,-1,0,0,0,-1,-1,2,0,0,0,0,0,-1,0,0,0,1,0,0
Array.153,Triple Neg,0,0,-1,-1,-1,-1,1,0,-1,0,1,0,1,-1,1,0,-1,1,-1,0,0,0,1,0,-1,0,0,1,-1,-1,1,-1,1,1,-1,1,1,0,0,-1,-1,0,1,1,0,-1,1,-1,-1,0,-1,-1,-1,-1,1,-1,1,0,1,-1,0,1,1,-1,1,1,-1,-1,1,0,1,0,0,1,-1,-1,-1,-1,1,1,1,-1,1,0,1,0,-1,1,1,0,1,-1,-1,0,0,0,1,1,-1,-1
Array.51,HER2+,1,1,2,1,1,0,1,0,1,2,1,1,1,0,1,1,1,1,0,1,-1,0,1,0,0,1,1,1,1,0,1,-1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,0,1,0,1,0,0,-1,1,0,1,0,0,1,1,0,1,1,1,1,1,-1,1,1,0,1,-1,1,1,1,1,-1,0,1,1,1,1,1,0,0
Array.142,HR+,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,-1,1,1,1,1,0,1,1,1,1,0,-1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,-1,1,1,1,1,2,0,0,1,0,0,1,1,1,-1,0,1,0,-1,0,1,1,1,1,0,-1,0,0,0,1,1,1,-1
Array.144,HER2+,0,0,2,0,0,0,0,0,0,0,-1,1,1,1,0,0,0,1,0,0,-1,0,0,0,0,0,0,1,0,0,1,-1,0,0,-1,1,1,0,1,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,0,0,1,0,-1,0,0,0,1,0,0,0,0,0,1,0,2,-1,-1,-1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,-1,-1,0,-1,0,1,1,0,0
Array.37,HR+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0,1,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,-1,-1,0,1,1,0,0,0,0,0,-1,0,0,0,0
Array.78,HER2+,0,-1,2,0,0,0,0,0,0,0,0,0,1,-1,0,-1,0,1,0,0,0,0,1,0,0,0,-1,1,0,-1,1,-1,0,0,1,1,1,0,0,0,0,0,0,-1,-1,-1,0,-1,0,0,0,0,0,0,0,-1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,1,0,1,-1,-1,-1,0,0,0,0,0,-1
Array.18,HER2+,-1,0,2,-1,0,1,0,0,-1,0,0,-1,1,-1,0,0,-1,1,0,0,-1,0,0,0,0,0,0,1,-1,-1,1,-1,0,2,-1,0,1,0,0,0,0,1,0,-1,0,0,1,-1,-1,1,1,0,0,-1,1,1,1,-1,0,1,1,0,0,-1,0,0,-1,-1,1,-1,0,0,2,0,1,0,-1,-1,-1,0,1,-1,0,1,0,0,0,0,0,0,1,-1,-1,0,0,1,1,1,0,-1
Array.75,HER2+,0,0,2,0,-1,1,-1,0,0,-1,0,-1,0,-1,-1,0,-1,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,1,-1,0,-1,-1,1,1,0,-1,0,0,0,-1,0,-1,-1,0,-1,1,0,-1,-1,0,1,0,0,0,-1,0,1,0,-1,0,0,-1,0,-1,1,0,0,0,-1,-1,0,-1,-1,-1,2,0,0,0,-1,0,0,-1,0,-1,-1,-1,0,0,-1,-1,0,0,0,-1,0,0,-1
Array.2,HR+,-1,-1,1,-1,0,0,0,0,-1,0,-1,-1,1,0,0,0,0,1,0,-1,-1,0,-1,1,0,-1,-1,1,0,0,1,-1,-1,0,1,-1,0,0,1,0,0,0,-1,0,-1,0,0,0,-1,0,0,-1,0,-1,1,0,1,-1,-1,1,0,-1,-1,0,0,-1,-1,-1,1,1,-1,1,-1,0,-1,-1,0,-1,-1,-1,1,0,1,1,0,0,0,-1,-1,-1,1,-1,-1,-1,-1,-1,0,0,0,-1
Array.60,HR+,-1,-1,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,-1,0,0,0,0,-1,0,1,0,0,0,0,0,-1,0,0,0,1,0,0,0,-1,0,0,0,0,-1,0,0,1,0,0,0,2,0,0,-1,0,-1,-1,0,0,0,0,0,0,-1,0,0,0,1,1,0,0,-1,0,0,0,0,-1,0
Array.38,Triple Neg,0,0,-1,-1,0,-1,0,1,-1,-1,0,0,0,2,0,-1,0,0,0,0,-1,0,0,0,-1,0,-1,0,-1,-1,0,0,0,0,-1,0,0,1,0,0,0,0,0,-1,0,0,2,-1,-1,0,-1,0,0,0,0,-1,0,-1,-1,0,0,0,-1,0,-1,0,-1,0,0,1,-1,0,0,0,0,0,-1,-1,0,-1,1,-1,1,0,-1,-1,-1,1,0,0,0,-1,-1,0,0,0,0,0,0,-1
Array.72,HER2+,-1,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,1,-1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,-1,0,0,0,0,1,0,0,0
