Sample,Subgroup,15:53166-592121,1:62781892-63279284,15:27009381-32443495,3:199333505-199383479,16:29586070-30555422,3:11686988-12710784,17:20569693-20596699,1:245054641-245071941,15:44193179-48393597,22:23022675-23926329,1:103819551-103875725,8:39356595-39363050,17:35076296-35282086,3:75479859-75535753,22:24263116-24866694,3:75845446-75858339,2:235740357-236665001,15:32447707-32511475,1:16551324-16592466,22:23952881-23967594,1:16126501-16531740,19:13188639-14135749,4:191062719-191134340,5:802518-826044,1:53661750-55331098,12:64727853-66012212,10:81863113-82109833,6:22060377-24236375,10:72351591-73557841,2:132210961-132323628,13:5179-123882,1:156722904-157446463,16:72933295-73012768,6:18550170-19001738,18:8373762-10146194,15:39590440-39979013,3:123307820-126884366,6:106401543-108269233,12:97156507-97840955,6:122354776-122673457,15:91021118-91761159,19:47934635-48237067,19:56816785-56859204,12:70462057-70560603,9:533322-559898,1:31968013-33181040,6:32672983-32702995,1:149403519-149573806,12:57531034-59041688,1:19200088-21470929,8:42123757-42175380,11:55607240-56294614,8:97415915-97633935,11:80263397-80790766,14:40566575-40779816,17:1859252-1859812,6:137534872-137928470,15:39578565-39587716,8:63810-90816,16:86985669-88124384,8:36627162-36673994,1:245308564-245433846,18:46023418-47316297,17:31965989-32176678,10:42150759-42175348
Array.101,HR+,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,2,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,2,1,1,1,0,0,0,1,0,0,1
Array.57,Triple Neg,-1,2,-1,1,0,1,0,1,-1,0,-1,0,0,0,0,0,0,-1,-1,0,-1,0,-1,-1,2,0,0,1,0,0,0,1,0,1,0,-1,1,1,0,1,-1,0,0,0,0,-1,1,1,0,-1,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,0
Array.114,Triple Neg,-1,-1,-1,1,0,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1,0,0,0,-1,-1,0,0,0,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,1,0,-1,-1
Array.113,Triple Neg,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,0,-1,-1,-1,-1,0,0,0,-1,0,-1,-1,-1,0,0,-1,0,-1,-1,-1,0,-1,0,-1,-1,0,0,0,0,-1,-1,-1,0,-1,-1,1,-1,1,-1,-1,-1,-1,-1,0,-1,0,-1,0,-1
Array.148,HER2+,0,0,0,1,0,1,1,0,0,0,0,1,2,-1,0,-1,-1,0,-1,0,-1,1,1,0,0,0,-1,1,-1,0,0,2,0,1,1,0,1,0,0,0,0,-1,-1,0,-1,1,-1,0,0,-1,1,1,1,0,1,1,0,0,-1,0,-1,0,1,-1,0
Array.25,Triple Neg,-1,0,-1,-1,0,1,0,0,-1,0,0,-1,1,-1,0,-1,-1,0,-1,0,-1,0,-1,-1,0,-1,-1,0,-1,0,-1,1,-1,0,0,-1,0,-1,-1,0,1,0,-1,-1,0,0,0,1,-1,-1,0,0,1,0,-1,-1,0,-1,-1,-1,-1,-1,0,1,0
Array.102,Triple Neg,0,-1,-1,1,0,-1,-1,1,-1,0,0,1,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,1,-1,0,1,1,-1,1,0,-1,0,-1,0,1,0,-1,-1,0,0,-1,0,1,0,-1,0,0,2,0,1,0,-1,0,0,0,0,1,0,0,0
Array.55,HER2+,0,1,0,0,0,-1,0,-1,-1,0,0,1,2,-1,0,-1,0,0,0,0,0,1,0,1,2,0,-1,0,1,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,0,0,-1,-1,0,0,1,-1,1,2,1,-1,-1,0,0,0,0,-1,-1,-1,-1,1
Array.141,HR+,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,-1,0,0,0,0,0,0,0,-1,0,-1,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,-1,0,1,-1,0,0
Array.43,HR+,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,-1,0,0,0,0,-1,-1,0,0,0,-1,0,-1,0,0,0,0,0,0,-1,0,0,0,2,0,2,0,0,0,-1,0,-1,-1,2,-1,0,0,0
Array.159,Triple Neg,0,-1,0,-1,0,-1,0,-1,0,1,0,-1,-1,0,1,0,0,0,0,1,-1,0,-1,1,0,-1,-1,1,0,0,0,1,0,1,1,-1,1,-1,-1,-1,2,0,0,-1,-1,1,0,1,-1,-1,0,0,2,-1,0,-1,-1,-1,0,0,-1,1,0,-1,0
Array.52,HR+,0,-1,0,0,1,0,0,1,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,-1,0,1,-1,1,0,0,0,1,0,1,-1,0,-1,-1,0,-1,0,-1,-1,0,0,0,0,0,-1,1,0,0,1,-1,1,-1,0,-1,-1,-1,-1,-1,-1,0,0,2,0
Array.88,Triple Neg,0,0,-1,0,0,-1,-1,0,-1,0,0,-1,1,-1,0,-1,0,-1,1,0,1,0,0,0,0,-1,-1,1,-1,0,0,0,0,1,-1,-1,-1,0,-1,-1,0,0,0,-1,-1,0,0,0,1,-1,0,0,1,1,0,0,-1,-1,0,0,0,0,-1,-1,0
Array.125,HER2+,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Array.152,HER2+,0,1,-1,0,1,0,-1,0,-1,0,0,2,2,-1,0,-1,0,-1,0,0,0,0,0,1,0,1,0,0,0,0,-1,0,-1,0,-1,-1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,-1,0,-1,1,-1,-1,-1,2,0,-1,-1,1
Array.50,Triple Neg,0,0,0,1,1,0,0,-1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,-1,0,0,0,1,0,0,-1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1
Array.23,HR+,0,0,0,0,1,0,-1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,-1,0,0,1,0,0,1,0,0,-1,-1,-1,0,0,0,1,0,0,1,1,1,0,2,0,1,0,1,0,-1,0,-1,0,1,1,1,-1,-1
Array.68,HER2+,0,-1,0,0,0,0,-1,0,0,0,-1,-1,2,0,0,0,0,0,-1,0,-1,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,-1,-1,0,1,0,0,0,0,0,-1,-1,-1,0,0,0,0
Array.94,HR+,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,-1,1,-1,0,0,0,1,-1,1,0,1,1,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0
Array.51,HER2+,1,1,1,0,1,1,0,1,1,1,1,-1,2,1,1,1,1,1,1,1,0,0,1,2,1,0,2,1,0,1,1,1,0,1,-1,1,0,1,0,1,2,0,-1,0,0,1,1,1,0,0,-1,1,2,1,1,1,1,1,-1,0,0,1,0,-1,1
Array.142,HR+,0,0,0,1,1,1,-1,-1,0,-1,0,-1,1,1,-1,1,0,0,0,-1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,-1,1,-1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,-1,0
Array.144,HER2+,0,0,1,0,0,0,0,-1,0,0,0,0,2,0,0,0,-1,1,0,0,0,-1,0,-1,0,0,0,1,0,0,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-1,0,1,0,0,0,0,0,-1,0,1,1,0,-1,0
Array.78,HER2+,0,0,0,0,0,0,-1,1,0,-1,0,1,2,0,-1,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,1,-1,-1,1,0,0,-1,0,-1,1,0,0,0
Array.18,HER2+,0,1,-1,0,1,-1,-1,1,-1,0,0,0,2,-1,0,-1,-1,0,-1,0,-1,0,0,1,2,0,0,0,0,0,1,1,0,0,0,-1,0,-1,1,-1,0,0,0,0,-1,-1,0,1,0,-1,-1,0,-1,0,-1,-1,-1,-1,-1,0,-1,0,-1,1,0
Array.82,HR+,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,-1,1,1,0,1,1,1,-1,1,-1,1,0,0,0,0,1,0,0,1
Array.75,HER2+,-1,0,-1,0,0,-1,-1,0,1,0,0,-1,2,-1,0,-1,0,-1,0,0,0,0,-1,1,0,0,-1,0,0,1,0,0,-1,0,-1,1,-1,0,-1,0,-1,-1,0,0,0,0,-1,0,0,0,-1,-1,1,-1,1,-1,0,0,-1,0,-1,0,-1,-1,-1
Array.2,HR+,0,-1,0,0,1,0,-1,1,-1,0,-1,-1,1,-1,0,0,-1,1,0,0,0,0,0,0,-1,0,0,-1,0,-1,-1,1,0,-1,-1,-1,1,-1,0,0,-1,-1,-1,0,0,0,-1,1,0,0,-1,0,1,-1,0,-1,-1,-1,-1,-1,0,0,-1,0,-1
Array.38,Triple Neg,-1,0,-1,0,0,0,-1,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,0,-1,0,-1,0,2,0,0,-1,-1,-1,0,0,0,0,-1,0,-1,0,-1,-1,-1,0,0,0,0,-1,0,-1,0,0,0,2,0,1,0,-1,0,-1,-1,0,0,-1,-1,-1,-1,0
Array.145,Triple Neg,-1,-1,-1,1,-1,-1,0,1,-1,0,0,-1,0,-1,0,-1,-1,-1,0,0,-1,0,-1,-1,-1,-1,-1,0,-1,0,0,1,0,0,0,-1,0,0,-1,1,0,0,0,-1,1,-1,0,1,-1,-1,1,-1,1,0,0,1,0,-1,-1,0,-1,1,0,0,0
Array.31,Triple Neg,1,1,0,1,1,1,0,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,2,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,0,1,2,1,2,2,0,0,0,0,0,1,2,1,1,0,1
Array.111,Triple Neg,1,0,0,1,0,0,0,1,0,1,1,-1,0,0,1,0,1,0,0,1,0,1,-1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,2,0,2,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0,-1,1,0,0,1
Array.7,HR+,0,0,0,0,0,0,1,-1,0,-1,0,0,-1,0,-1,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,-1,1,-1,-1,0,0,0,0,0,0,0,1,-1,1,-1,-1,0,-1,0,0,0,-1,1,1,-1,0
Array.64,Triple Neg,0,-1,-1,0,0,0,0,1,-1,1,-1,2,0,0,1,-1,0,-1,0,1,0,0,-1,1,-1,-1,-1,1,0,0,0,1,0,1,-1,-1,0,1,0,1,0,0,0,-1,0,-1,0,1,-1,0,0,0,1,0,0,0,1,-1,-1,0,1,1,-1,0,0
Array.89,HR+,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Array.30,Triple Neg,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1
Array.35,HR+,0,0,1,0,1,0,0,0,1,-1,0,0,0,0,-1,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,1,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,1,0,-1,0,0,0,0,0
Array.93,Triple Neg,0,1,0,1,0,-1,0,1,0,1,0,0,0,-1,1,-1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,2,1,1,1,0,0,-1,0,0,0,0,0,1,0,0,0,-1,1,1,0,1
Array.10,HER2+,0,-1,0,0,0,0,2,0,0,-1,-1,0,2,0,-1,0,-1,0,0,-1,0,-1,-1,1,-1,0,-1,0,-1,0,0,1,0,0,-1,0,0,-1,0,0,0,0,-1,0,0,-1,0,1,0,0,1,0,0,-1,0,0,-1,0,-1,0,-1,1,0,-1,0
Array.123,HR+,0,0,0,0,0,0,0,1,0,-1,0,1,0,-1,-1,0,0,0,-1,-1,-1,-1,0,1,0,2,0,1,0,-1,0,0,-1,1,0,0,0,-1,1,-1,-1,0,1,2,-1,0,0,0,1,-1,0,0,2,0,0,0,-1,0,0,-1,0,1,-1,0,0
Array.100,HR+,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Array.134,HR+,0,-1,0,1,1,1,1,1,0,-1,-1,1,1,1,-1,1,0,0,0,-1,-1,0,0,0,-1,1,-1,1,-1,0,0,1,-1,1,-1,0,1,-1,1,-1,0,0,0,1,-1,-1,1,1,1,-1,1,0,1,0,0,1,-1,0,-1,-1,0,1,-1,1,-1
Array.130,HER2+,0,1,0,0,0,0,-1,1,0,0,1,2,2,0,0,-1,0,0,0,0,0,0,0,2,1,0,-1,0,-1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,-1,1,0,-1,1,0,1,0,2,-1
