Sample,Subgroup,15:44193179-48393597,1:74137824-74816963,19:47934635-48237067,15:55258039-57620619,12:74728500-75387573,5:70752359-71062539,1:245054641-245071941,22:40072147-41213949,17:35076296-35282086,22:41307174-41912419,3:586636-625689,17:1860983-1862743,1:149579637-149582884,1:2927-43870,19:8246-232080,16:47717059-48773160,4:69215734-69311985,16:61163269-63210535,5:763494-786455,1:199087690-199111062,17:41700762-41706870,16:68710277-68751390,22:16710421-17036278,12:84542006-85443011,3:164038925-164101784,16:29586070-30555422,16:33280759-33424939,15:27009381-32443495,10:87744912-88215734,8:37028146-37290782,20:60333345-60363009,6:32766023-32821094,5:150224239-152555267,3:4109224-4214897,9:42913008-43066618,17:403833-443042,14:19268776-19330937,8:37317937-37617735,1:116880909-116906096,20:52993159-53135675,16:45058242-45218686,17:33708879-33836794,12:75396411-75693696,19:56816785-56859204,1:244693374-244865778,6:72170740-73920835,4:9047040-9477600,1:193480150-193527058,3:16617887-16778176,16:28087-37133,16:30561643-31835555,14:105602756-105630089,11:234177-263286,15:53166-592121,14:18149473-18537177,20:34883639-35743960,17:41062669-41447005,19:232836-236846,17:48882141-49169293,1:244947984-244955806,1:25354765-25402278
Array.79,HER2+,0,0,0,0,0,1,0,-1,2,-1,0,-1,1,0,1,-1,-1,-1,2,1,-1,-1,-1,0,0,-1,-1,-1,0,-1,0,0,1,0,0,-1,-1,-1,0,0,-1,-1,0,1,0,0,0,1,0,1,-1,0,0,-1,-1,0,-1,1,-1,0,0
Array.124,HR+,0,0,-1,1,1,0,1,0,0,0,1,1,1,0,1,0,-1,1,-1,0,-1,0,0,1,-1,1,1,0,0,0,1,0,1,-1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,1,0,2,2,1,1
Array.27,HR+,0,-1,0,0,0,0,1,0,0,0,0,0,1,0,0,-1,0,-1,0,1,0,-1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,1,0
Array.69,Triple Neg,-1,-1,0,-1,0,-1,1,-1,1,-1,0,0,1,1,0,2,0,-1,0,1,1,-1,0,0,0,1,1,-1,0,2,0,-1,-1,0,-1,0,-1,2,1,0,-1,1,0,0,1,-1,0,1,0,1,1,-1,0,0,-1,0,1,0,1,1,-1
Array.73,HER2+,0,0,0,0,0,-1,1,0,2,0,-1,0,1,0,0,0,0,0,0,1,-1,-1,0,0,0,0,0,0,-1,0,1,0,0,-1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,1,0
Array.95,HR+,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,-1,0,0,1,-1,-1,0,1,-1,1,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,1,0,1,0,1,0
Array.98,HR+,0,0,1,0,1,1,1,-1,0,-1,1,1,1,0,1,-1,0,-1,1,1,0,-1,-1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,-1,0,1,1,1,-1,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0
Array.33,HR+,1,-1,1,1,0,0,0,-1,-1,-1,0,-1,1,0,-1,1,-1,1,1,1,-1,-1,-1,0,0,1,1,1,0,-1,-1,0,0,0,0,-1,0,-1,-1,0,1,-1,0,1,1,1,0,-1,0,1,1,0,1,0,0,-1,-1,-1,0,1,1
Array.138,HER2+,1,1,1,1,1,-1,1,0,2,0,0,0,1,0,0,0,-1,0,0,1,-1,0,0,1,-1,1,0,0,0,1,-1,1,0,0,0,-1,-1,1,1,1,0,0,1,1,1,1,-1,1,0,1,1,0,1,0,0,1,-1,0,-1,1,-1
Array.101,HR+,0,0,1,0,1,1,1,0,0,0,1,1,1,0,1,0,-1,0,1,1,-1,0,0,1,-1,1,1,0,0,0,2,1,1,1,1,0,1,0,0,2,0,0,1,1,2,1,1,1,1,1,1,2,0,0,1,1,0,-1,0,2,1
Array.57,Triple Neg,-1,2,0,-1,0,0,1,0,0,0,1,0,1,-1,0,0,-1,0,0,1,-1,-1,0,0,-1,0,-1,-1,0,0,0,1,0,1,0,0,-1,0,-1,0,0,0,0,0,2,1,0,1,1,0,0,-1,0,-1,0,0,0,0,0,2,-1
Array.105,HER2+,0,0,-1,0,0,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,-1,1,0,0,0,1,1,-1,-1,-1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,-1
Array.114,Triple Neg,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1,0,-1,0,0,-1,0,0,1,-1,0,0,0,-1,0,1,-1,-1,-1,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,1,0,-1,1,-1,1,0,0,0,-1,0,0,-1,-1,-1,1,-1
Array.56,HR+,-1,-1,-1,-1,0,0,1,-1,-1,-1,1,0,2,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,1,1,-1,0,2,0,0,0,1,0,0,-1,2,-1,0,-1,-1,0,-1,1,0,0,1,0,1,1,0,0,-1,0,0,-1,-1,2,1,-1
Array.5,Triple Neg,-1,0,0,-1,0,-1,0,0,-1,0,0,-1,1,0,-1,1,-1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,-1,-1,0,-1,1,0,0,-1,-1,-1,-1,0,-1,0,0,0,1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,0,-1,0,0,0
Array.8,HR+,-1,0,0,0,1,0,1,0,0,0,0,-1,1,0,0,0,-1,0,0,1,-1,0,0,1,-1,1,1,-1,0,2,1,0,0,0,0,0,1,2,0,1,2,0,1,0,1,0,0,0,0,1,1,-1,0,0,1,-1,0,-1,1,1,0
Array.113,Triple Neg,-1,-1,0,-1,0,0,-1,-1,0,-1,0,0,-1,-1,0,0,-1,0,0,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,0,0,-1,1,-1,-1,-1,0,0,0,-1,-1
Array.148,HER2+,0,0,-1,0,0,0,0,0,2,0,1,1,0,0,1,0,-1,0,0,0,-1,0,0,0,-1,0,1,0,-1,-1,2,-1,0,1,0,0,-1,-1,1,2,0,-1,0,-1,0,0,0,0,1,0,1,0,1,0,0,2,-1,-1,-1,0,-1
Array.25,Triple Neg,-1,0,0,-1,-1,-1,0,0,1,1,1,-1,1,0,-1,0,0,-1,-1,-1,1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,-1,1,-1,-1,0,-1,0,1,0,1,-1,-1,1,-1,-1,0,-1,0,0,-1,1,-1,0,0,1,-1,0,0,-1
Array.141,HR+,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-1,0,0,-1,0,1,-1,-1,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,-1,1,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,1,0
Array.43,HR+,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,1,-1,0,0,-1,-1,0,0,-1,1,1,0,0,2,0,-1,0,0,0,0,0,2,0,0,1,0,0,0,0,-1,-1,-1,0,1,1,-1,0,0,0,0,0,-1,0,0,1
Array.125,HER2+,0,0,-1,0,0,0,0,0,2,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0
Array.50,Triple Neg,0,0,1,0,0,0,-1,1,0,1,0,0,2,0,0,1,1,1,-1,1,-1,1,0,0,-1,1,1,0,0,0,1,1,0,0,1,1,-1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0
Array.68,HER2+,0,-1,0,0,0,0,0,0,2,0,0,0,0,0,0,-1,1,-1,0,0,-1,-1,0,0,1,0,0,0,0,-1,0,0,0,0,2,0,-1,-1,-1,0,-1,1,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
Array.94,HR+,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,0,1,0,-1,0,0,1,-1,1,0,0,0,0,2,0,0,0,0,0,-1,0,0,-1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,2,0,-1,0,1,0
Array.153,Triple Neg,-1,0,0,-1,-1,-1,1,-1,-1,0,0,0,1,0,0,1,-1,-1,1,0,-1,-1,0,-1,-1,1,1,-1,1,-1,0,1,-1,-1,0,0,0,-1,0,0,1,-1,-1,0,1,1,-1,0,-1,0,1,-1,-1,-1,0,-1,-1,0,0,1,-1
Array.142,HR+,0,0,0,0,1,1,-1,-1,1,-1,1,1,1,0,0,1,0,1,1,1,0,1,-1,1,-1,1,1,0,0,0,1,1,1,1,1,0,-1,0,0,1,1,1,1,-1,1,0,0,1,1,1,1,-1,0,0,0,1,1,0,1,1,0
Array.144,HER2+,0,0,0,0,0,0,-1,0,2,0,0,0,1,0,-1,0,0,0,-1,1,-1,0,0,0,-1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,-1,0,0,1,0,0,1,0,0,0,-1,-1,0,0,0,-1,-1,-1,1,0
Array.37,HR+,0,0,0,0,0,0,0,-1,0,-1,0,0,1,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,1,0
Array.18,HER2+,-1,1,0,-1,0,-1,1,0,2,0,-1,-1,1,0,-1,0,-1,0,1,0,-1,0,0,0,0,1,0,-1,0,-1,1,0,0,-1,0,-1,-1,1,0,1,0,0,1,0,1,-1,0,1,-1,1,1,0,-1,0,-1,1,-1,-1,0,1,-1
Array.139,HER2+,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,-1,0,-1,0,1,1,-1,0,0,-1,1,1,0,0,-1,0,0,0,0,0,0,-1,-1,0,0,0,1,0,0,1,0,0,1,0,1,0,-1,0,0,0,0,-1,0,2,1,0
Array.2,HR+,-1,-1,-1,-1,1,0,1,-1,1,-1,0,-1,0,1,1,0,0,0,0,1,-1,-1,0,0,1,1,0,0,0,0,1,-1,1,0,-1,-1,-1,0,-1,1,1,0,1,-1,1,-1,-1,1,0,0,1,-1,-1,0,0,1,0,0,0,1,0
Array.117,HR+,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,-1,0,-1,-1,-1,0,0,-1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,1,0,-1,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0
Array.60,HR+,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,-1,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,1,-1,0,-1,0,0,0,-1,0,0,0,0,0,1,0,1,0
Array.38,Triple Neg,-1,0,0,-1,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,-1,0,2,0,-1,0,0,-1,-1,0,1,-1,-1,2,0,0,-1,0,0,-1,-1,2,0,0,0,-1,-1,0,0,0,-1,0,0,0,0,-1,0,-1,0,0,-1,0,0,0,0
Array.72,HER2+,0,0,0,0,1,0,1,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,1,1,0,0,0,0,0,-1,1,0,1,0,1,1,0,1,-1,0,-1,0,0,0,-1,0,0,-1,1,0,0,0,1,0
Array.104,Triple Neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,-1,0,0,0,-1,0,1,0,0,0,0,-1,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0
Array.31,Triple Neg,0,1,1,0,0,0,1,1,0,1,1,1,2,1,0,2,-1,1,2,-1,-1,2,1,0,-1,1,1,0,0,2,0,1,0,1,1,1,0,2,1,1,2,0,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,1
Array.135,Triple Neg,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,-1,0,0,1,-1,0,0,0,-1,1,1,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
Array.21,HER2+,0,1,0,0,1,0,1,1,2,1,1,1,1,0,0,1,1,1,1,0,0,-1,0,0,-1,1,1,0,0,-1,2,1,0,1,1,1,-1,-1,-1,2,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
Array.53,HER2+,-1,0,-1,-1,0,0,0,0,2,0,0,0,0,0,-1,-1,-1,-1,1,0,-1,-1,1,0,-1,-1,0,-1,0,0,0,-1,0,0,0,-1,-1,0,0,0,-1,-1,0,0,0,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,-1,-1,-1,0,0
Array.71,Triple Neg,0,0,-1,0,0,-1,-1,0,0,1,-1,0,1,0,0,0,0,0,-1,1,1,-1,0,0,1,0,0,0,0,0,0,0,-1,-1,0,0,-1,0,0,0,0,0,0,-1,1,1,0,1,-1,0,0,-1,-1,0,-1,0,0,0,0,1,0
Array.107,Triple Neg,-1,0,0,-1,0,-1,1,-1,-1,-1,0,0,1,0,0,0,-1,0,0,0,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0,1,-1,0,0,0,1,-1,0,1,0,-1,-1,0,1,0,0,1,0,1,0,-1,-1,-1,0,0,0,1,0,1,0
Array.64,Triple Neg,-1,-1,0,-1,-1,-1,1,0,0,0,0,0,1,0,0,0,-1,0,1,0,-1,0,0,-1,1,0,0,-1,-1,1,0,0,-1,0,0,0,-1,1,-1,0,0,0,-1,0,1,1,-1,1,0,1,0,-1,-1,0,-1,0,0,0,0,1,0
Array.30,Triple Neg,0,1,0,0,0,0,1,1,0,1,1,0,2,1,1,0,-1,1,0,1,-1,1,0,0,-1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1
Array.10,HER2+,0,-1,0,0,0,0,0,-1,2,-1,0,-1,1,0,-1,0,-1,0,1,1,0,0,-1,0,-1,0,0,0,-1,-1,1,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,1,0,0,1,0,0,0,0,0,0,0,0,-1,-1,-1,1,0
Array.123,HR+,0,0,0,0,2,0,1,0,0,0,1,0,1,0,-1,0,-1,-1,1,0,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,2,1,1,0,0,1,0,0,0,-1,-1,0,0,1,0,-1,0,1,-1
Array.134,HR+,0,-1,0,0,1,0,1,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,0,1,0,-1,-1,1,-1,1,1,0,-1,0,1,1,0,1,0,1,-1,0,-1,1,-1,1,1,0,1,1,0,1,1,1,1,-1,1,0,0,1,1,-1,1,1,-1
