Sample,Subgroup,3:143686906-144718154,6:6356121-7863271,5:152572508-153979903,15:18835660-18884436,16:68710277-68751390,16:86985669-88124384,6:125139481-126167412,20:8747-57263,8:35694285-35751327,17:35076296-35282086,23:108169857-122414714,1:27418631-27637052,6:19049822-20716660,12:74728500-75387573,5:763494-786455,6:68631929-69110566,12:77023447-82859962,11:80263397-80790766,6:18550170-19001738,14:105654998-105693581,22:22651385-22665928,16:68606309-68648091,1:912799-1266212,12:64727853-66012212,1:16693433-16750002,20:32377973-32691183,1:16757397-16794038,22:41221190-41290227,1:149369522-149394958,23:3229-45135,6:69133049-69809498,1:193480150-193527058,6:35344147-37360148,22:23978623-24228038,18:17278237-18565403,23:152422390-152548587,16:72933295-73012768,16:69391442-69397102,1:42754729-43839204,5:6356267-9839414,3:41249898-46752789,16:29560500-29582349,6:32672983-32702995,16:30561643-31835555,3:75546791-75799957,5:178560621-179290850,23:422315-462468,6:1358498-1359129,5:70716278-70721505,16:14956177-14988855,2:115206978-115251658,7:21242540-23314039,5:180342860-180362342,6:4651403-4923955,16:76981676-82121025,11:24432855-25844571,17:41983407-42049540,23:1672003-1687507,15:32605086-32654561,9:43094089-43410478,12:75396411-75693696,4:62447-79281,1:149591108-149598429,3:75914406-75957900,8:39368509-39505256,1:16672053-16680432,6:165690639-165715368,8:50133866-50469104,18:121700-128568,8:53262924-54668893,14:73071404-73092018,2:132210961-132323628,12:70462057-70560603,17:457721-461603,23:52844235-58365352,16:54354643-54379834,1:149579637-149582884,6:135204537-135259324,6:32718991-32728487,12:57531034-59041688,6:22060377-24236375,6:32766023-32821094,5:57805582-58473974,8:166452-181530
Array.110,HER2+,0,0,0,1,-1,-1,-1,0,-1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,1,0,2,0,0,2,0,2,-1,0,0,0,1,0,2,0,0,0,0,0,0,-1
Array.73,HER2+,0,0,0,1,-1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,0,0,0,0,0,0,-1,1,-1,1,0,0,0,1,0,0,-1
Array.95,HR+,0,0,1,1,-1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,-1,1,0,1,1,0,0,1,0
Array.98,HR+,1,1,1,0,-1,-1,-1,1,1,0,1,0,1,1,1,-1,1,-1,1,0,-1,-1,0,1,0,1,0,-1,-1,1,-1,1,1,-1,1,1,-1,-1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,-1,0,0,0,0,1,1,0,1,1,2,0,-1,1,1,1,0,0,1,0,1,-1,1,-1,1,1,1,1,1,1
Array.17,HER2+,0,0,0,0,-1,-1,2,0,0,2,1,0,0,0,0,1,0,0,0,1,0,-1,1,0,0,0,0,0,1,0,1,0,0,0,-1,1,-1,0,0,0,-1,1,0,1,0,0,1,0,-1,1,0,1,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,-1,1,0,1,1,0,0,0,0,-1,0
Array.149,HR+,0,-1,-1,0,-1,-1,-1,0,-1,1,1,-1,-1,0,1,-1,0,-1,0,0,0,-1,0,1,0,1,0,-1,-1,0,-1,1,-1,-1,0,1,-1,-1,-1,1,0,0,-1,0,0,-1,0,-1,-1,-1,0,0,-1,-1,-1,0,1,0,0,1,0,0,1,0,0,0,-1,1,0,1,-1,0,0,-1,1,1,1,-1,-1,1,-1,-1,-1,-1
Array.90,Triple Neg,0,-1,0,-1,0,0,0,0,-1,-1,2,-1,0,0,-1,0,0,0,0,0,-1,0,-1,0,0,0,0,0,-1,1,0,1,0,-1,-1,2,0,0,-1,0,0,0,0,0,0,0,1,-1,0,0,0,-1,0,-1,0,-1,-1,1,-1,0,0,0,1,0,1,0,0,1,-1,1,0,0,0,-1,2,0,1,0,0,-1,0,1,0,-1
Array.99,Triple Neg,-1,0,0,0,0,1,0,-1,0,0,2,1,0,0,-1,0,0,0,0,0,0,1,0,0,1,-1,1,0,-1,0,0,1,0,-1,0,2,0,1,1,0,-1,1,0,1,0,0,0,-1,0,1,0,0,1,0,1,0,0,0,-1,0,0,0,1,-1,1,1,0,0,0,0,1,0,0,0,1,-1,1,0,0,0,0,0,0,0
Array.57,Triple Neg,1,1,0,-1,-1,0,1,0,0,0,1,-1,1,0,0,1,0,0,1,0,0,0,-1,0,-1,0,-1,0,-1,1,1,1,1,0,0,1,0,0,2,0,1,0,1,0,0,0,0,1,0,-1,0,1,0,1,0,0,0,0,-1,0,0,-1,1,0,0,-1,1,0,0,0,-1,0,0,0,1,0,1,1,-1,0,1,1,0,0
Array.85,HR+,0,0,0,0,-1,-1,-1,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,-1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,-1,-1,0,-1,0,0,0,1,0,0,1,1,-1,-1,0,0,0,1,-1,0,-1,1,-1,0,0,0,0,0,-1,0,0,1,0,1,-1,0,0,-1,1,-1,0,-1,0,0,0,0,-1,-1
Array.56,HR+,0,0,0,-1,-1,-1,-1,0,1,-1,1,-1,0,0,0,0,0,0,0,0,-1,-1,-1,0,-1,0,-1,-1,-1,0,0,1,0,1,0,1,-1,-1,-1,0,-1,1,0,1,-1,0,1,0,0,1,0,0,0,0,-1,0,-1,0,-1,0,0,0,2,-1,0,-1,-1,0,-1,0,0,-1,0,0,1,-1,2,-1,0,0,0,0,0,-1
Array.5,Triple Neg,1,1,-1,0,-1,1,1,-1,-1,-1,1,0,1,0,-1,1,0,-1,1,-1,0,-1,1,0,0,-1,0,0,0,1,1,-1,1,0,0,1,-1,0,0,-1,-1,0,-1,0,0,0,1,1,-1,-1,0,-1,-1,1,0,0,0,-1,-1,0,0,-1,0,0,-1,0,-1,0,0,0,-1,-1,0,-1,1,-1,1,1,-1,0,1,0,-1,-1
Array.8,HR+,0,0,0,0,0,0,0,-1,-1,0,1,0,0,1,0,0,1,-1,0,1,0,0,-1,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,1,0,1,0,-1,0,0,1,0,1,-1,1,0,0,1,0,1,0,0,0,0,0,0,0
Array.113,Triple Neg,0,-1,0,-1,-1,0,-1,-1,-1,0,2,-1,-1,0,0,-1,0,1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,2,0,0,-1,0,0,0,-1,0,0,0,1,-1,0,0,0,0,0,-1,0,1,1,-1,-1,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,-1,1,0,-1,-1,-1,0,-1,-1,0,-1
Array.42,HER2+,0,0,0,0,1,1,1,1,-1,2,2,-1,2,0,1,1,0,-1,1,0,0,1,0,0,1,0,1,-1,1,1,1,1,0,-1,0,2,1,1,-1,1,0,0,0,0,0,0,1,0,0,-1,0,-1,0,0,1,1,0,0,0,0,0,1,1,-1,0,1,1,2,1,2,-1,0,0,0,2,1,1,1,0,0,2,0,0,-1
Array.102,Triple Neg,0,-1,-1,0,-1,0,1,-1,0,0,1,-1,1,-1,0,-1,-1,0,1,0,0,0,-1,0,-1,0,-1,0,-1,1,-1,-1,1,0,0,1,-1,0,0,0,-1,0,0,0,0,1,1,-1,0,-1,0,1,1,-1,0,0,0,0,-1,0,-1,-1,1,0,1,-1,-1,0,-1,0,-1,0,0,0,1,-1,1,-1,0,0,1,1,0,0
Array.55,HER2+,0,0,-1,2,0,0,0,1,-1,2,1,-1,0,0,1,-1,0,1,0,0,1,0,1,0,0,1,0,-1,-1,1,-1,-1,-1,0,-1,1,0,0,1,1,-1,0,-1,0,0,0,1,0,-1,-1,0,1,0,0,0,1,1,-1,0,0,0,0,1,-1,1,0,0,2,-1,2,-1,0,0,-1,1,0,1,0,-1,0,0,-1,-1,-1
Array.43,HR+,0,-1,0,0,-1,-1,-1,0,2,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,1,-1,-1,0,0,0,1,-1,1,0,0,1,-1,0,0,0,0,0,-1,-1,0,0,0,0,0,0,-1,1,0,2,0,-1,2,0,2,0,0,0,0,1,-1,1,-1,-1,0,-1,-1,-1,-1
Array.52,HR+,0,0,0,0,-1,-1,-1,0,-1,-1,1,0,0,0,1,-1,0,-1,0,-1,1,-1,0,1,0,0,0,0,0,1,-1,1,0,0,-1,1,-1,-1,0,1,0,1,-1,1,0,0,0,0,0,-1,0,0,0,0,-1,0,-1,0,-1,-1,0,0,1,0,-1,0,-1,1,-1,1,-1,1,0,-1,1,-1,1,-1,-1,0,0,0,0,-1
Array.88,Triple Neg,-1,1,-1,-1,0,0,-1,1,0,1,1,-1,1,-1,0,-1,-1,1,1,-1,0,0,0,-1,1,1,1,0,1,1,-1,-1,0,0,-1,2,0,0,0,1,-1,0,0,0,-1,-1,1,1,-1,-1,-1,2,-1,1,0,0,1,-1,-1,-1,-1,0,0,-1,-1,1,-1,0,-1,0,-1,0,-1,-1,1,0,0,-1,0,1,1,0,-1,0
Array.125,HER2+,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Array.152,HER2+,0,0,-1,1,-1,-1,1,0,-1,2,1,0,0,1,1,-1,1,-1,0,1,0,-1,0,1,0,0,0,0,0,0,-1,0,0,0,-1,1,-1,-1,0,1,-1,1,0,1,-1,-1,0,0,-1,1,0,0,-1,0,-1,-1,1,0,-1,1,1,0,0,-1,2,0,1,1,0,1,0,0,1,-1,1,1,0,1,0,0,0,0,-1,-1
Array.94,HR+,0,0,0,1,0,0,-1,2,0,0,1,0,0,1,1,0,1,-1,0,0,1,-1,0,1,1,1,1,1,2,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,-1,-1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,-1,0,1,0,1,0,1,-1,0,1,0,0,0,0
Array.51,HER2+,0,1,0,1,0,0,1,1,0,2,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,2,0,1,0,1,1,0,1,1,0,0,1,1,-1,1,1,2,1,2,1,1,0,0,0,0,1,1,1,0,1,1,0,-1
Array.37,HR+,0,0,0,1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,1,-1,1,0,0,0,0,-1,0,1,-1,0,0,0,0,0,1,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-1,1,0,0,0,0,-1,1,0,0,1,0,1,0,1,0,0,0,0,0
Array.78,HER2+,0,0,0,0,0,0,0,-1,-1,2,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,-1,1,0,0,1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,0,0,0,0,0,0,-1,0,0,0,0,-1,1,-1,1,0,0,-1,0,1,-1,0,0,-1,1,-1,1,0,0,0,0,0,-1,-1
Array.18,HER2+,0,0,0,0,0,0,-1,0,-1,2,1,-1,0,0,1,-1,0,0,0,0,0,0,-1,0,-1,1,-1,0,2,0,-1,1,0,0,-1,1,0,0,2,0,-1,1,0,1,-1,0,0,0,-1,1,0,0,0,0,0,-1,-1,0,-1,0,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,1,0,1,-1,0,0,0,0,-1,-1
Array.82,HR+,0,0,0,1,-1,0,0,1,0,0,2,0,0,1,0,0,1,-1,0,1,0,0,0,1,0,1,0,0,-1,-1,0,1,0,0,0,2,0,0,0,0,0,1,-1,1,0,0,1,0,0,-1,1,0,-1,0,0,1,-1,0,-1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,-1,2,-1,1,0,-1,1,0,0,0,0
Array.139,HER2+,0,0,0,0,-1,-1,0,0,-1,2,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,-1,1,-1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,1,0,-1,0,0,1,-1,1,-1,0,0,0,1,-1,1,0,0,0,0,0,0,-1
Array.2,HR+,1,-1,1,-1,-1,-1,-1,1,0,1,-1,0,-1,1,0,-1,0,-1,-1,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,1,-1,0,-1,1,0,0,0,0,-1,1,-1,1,0,0,-1,-1,0,0,-1,-1,1,-1,0,0,-1,-1,0,-1,1,-1,1,-1,-1,0,-1,0,-1,0,1,-1,0,-1,1,-1,0,-1,-1,0,-1,-1,-1,-1
Array.72,HER2+,0,0,0,0,0,0,0,1,-1,2,1,0,0,1,0,0,0,1,0,0,1,0,0,2,0,1,0,0,1,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,-1
Array.104,Triple Neg,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,-1,0,0,0,0,0,-1,0,0
Array.137,HR+,-1,0,0,1,-1,-1,0,0,0,0,1,0,0,0,1,0,0,0,0,-1,0,-1,0,0,1,0,1,-1,1,0,0,1,0,0,0,1,-1,-1,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,-1,1,1,0,0,0,0,-1,1,0,-1,1,0,1,0,0,0,0,0,0,0
Array.31,Triple Neg,1,1,0,1,2,1,1,1,2,0,2,1,1,0,2,1,0,2,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,2,1,1,1,2,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,-1,1,-1,1,0,1,2,0,0,1,-1,0,1,0,-1,1,0,0,2,1,2,1,1,0,1,1,0,0
Array.135,Triple Neg,1,1,0,0,0,0,1,0,1,0,2,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,1,2,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,1,-1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,2,0,1,1,1,0,1,1,0,1
Array.111,Triple Neg,1,1,0,0,1,0,0,1,-1,0,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1,0,-1,0,1,0,1,1,1,0,1,0,1,0,0,1,0,-1,0,1,1,0,1,0,1,0,0,1,-1,1,0,2,0,1,1,0,-1
Array.21,HER2+,0,1,0,0,-1,0,0,0,-1,2,2,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,2,1,0,0,1,0,0,2,-1,0,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,-1,0,1,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,0,-1
Array.59,HR+,0,-1,0,-1,-1,0,-1,-1,2,0,0,-1,-1,0,0,-1,0,-1,-1,-1,-1,-1,-1,0,-1,0,0,-1,1,0,-1,0,0,-1,0,0,0,0,-1,0,0,0,-1,0,0,0,0,-1,0,-1,-1,0,0,-1,0,-1,0,-1,-1,0,0,0,1,0,0,-1,-1,1,0,1,-1,0,0,0,0,-1,1,-1,-1,0,-1,-1,0,-1
Array.47,Triple Neg,1,1,-1,-1,0,0,0,-1,0,0,2,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,1,-1,1,-1,-1,0,0,0,2,-1,0,0,0,-1,0,0,0,0,-1,0,1,-1,0,0,0,-1,1,0,0,1,-1,0,0,0,-1,0,-1,1,0,0,0,0,0,-1,1,0,-1,1,-1,1,0,0,-1,0,0,-1,0
Array.64,Triple Neg,1,1,-1,0,0,0,1,0,0,0,1,-1,1,-1,1,0,-1,0,1,-1,1,0,0,-1,0,1,0,0,1,0,0,1,0,1,-1,1,0,0,-1,1,0,0,0,0,0,0,1,0,0,1,0,-1,1,1,0,0,1,0,-1,0,-1,-1,1,-1,2,0,0,0,0,0,-1,0,-1,0,2,0,1,1,0,-1,1,0,-1,-1
Array.89,HR+,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,-1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,-1,0,1,0,1,-1,1,0,-1,0,0,0,0,0
Array.30,Triple Neg,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,-1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,-1,0,0,0,1,0,0,2,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,-1,2,1,1,0,1,0,0,0
Array.35,HR+,0,0,0,1,-1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,1,-1,-1,1,0,0,0,-1,0,1,-1,-1,0,0,0,1,-1,1,0,0,1,0,0,1,0,0,0,0,-1,0,0,0,1,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,1,-1,1,-1,-1,0,0,0,0,0
Array.93,Triple Neg,1,2,0,1,-1,0,1,0,-1,0,1,-1,1,0,0,1,0,0,1,0,0,-1,1,0,1,0,1,0,-1,1,1,1,1,1,1,1,0,0,1,0,-1,0,1,0,1,0,1,1,-1,-1,1,1,0,2,0,0,0,1,0,1,0,0,1,-1,0,1,1,-1,1,-1,-1,1,0,0,1,0,2,1,1,0,1,1,0,0
Array.10,HER2+,0,0,0,0,0,0,-1,0,-1,2,1,0,0,0,1,0,0,-1,0,0,-1,0,0,0,0,0,0,-1,1,1,2,1,0,-1,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,-1,1,0,0,0,-1,1,-1,1,0,0,0,0,1,-1,1,0,0,0,0,0,0,-1
Array.123,HR+,0,0,0,0,-1,-1,-1,0,0,0,1,-1,1,2,1,0,2,0,1,-1,0,-1,0,2,-1,1,-1,0,2,-1,0,1,0,-1,0,1,-1,-1,0,0,-1,0,0,0,0,0,-1,0,0,-1,-1,-1,0,0,-1,0,0,-1,0,1,2,0,0,-1,1,-1,-1,0,0,0,-1,-1,2,0,1,0,1,-1,0,1,1,0,0,0
