Sample,Subgroup,1:149369522-149394958,1:239337733-239364269,1:239391358-239517083,3:163997236-164023510,3:196908262-196937230,5:69274433-70345552,6:40747924-42826227,6:64633346-64705894,6:80170446-80661257,6:122354776-122673457,6:122710361-123097090,7:38065862-38069416,8:36627162-36673994,8:37317937-37617735,8:42123757-42175380,8:42191493-42325689,11:70519863-70552702,12:44923991-45851001,12:45861893-47611599,12:49299695-51238169,12:51241859-52425218,12:63574243-64694907,12:64727853-66012212,12:66035532-66948440,12:70462057-70560603,12:84542006-85443011,12:85450052-85962613,14:21464924-21511829,14:21518235-22000194,16:21382561-21444431,16:68710277-68751390,16:69763173-70593293,16:70601469-71161060,17:24708419-24915412,17:31461588-31504564,17:35076296-35282086,17:41062669-41447005,17:61247968-61578637,17:61733108-61833313,18:28288419-29558913,20:194755-763411,20:771302-1487457,20:1499034-1506379,21:14489502-15461383,22:22725750-22731544,22:35590804-36652726
Array.48,HR+,0,1,1,-1,0,0,0,-1,-1,0,0,1,-1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,-1,0,0,1,1,1,1,1,1,1,0,0,0,0,-1,-1
Array.6,HER2+,-1,0,0,-1,0,0,0,0,-1,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,2,-1,0,0,0,0,0,0,0,0,0
Array.39,HR+,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,1,0,-1,0
Array.86,HR+,1,0,0,-1,0,0,0,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,-1
Array.112,Triple Neg,-1,1,1,-1,1,-1,1,0,0,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,1,-1,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,1
Array.79,HER2+,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,0,-1,2,-1,0,2,-1,0,0,0,0,0,-1
Array.124,HR+,-1,0,0,-1,1,1,-1,1,0,0,0,1,2,0,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,0,0,1,1,1,1,1,1,-1,0,0
Array.19,HER2+,1,0,0,0,0,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,2,1,2,0,-1,-1,0,0,0,1,1,1,-1,-1,2,-1,0,0,0,0,0,0,0,0,0
Array.106,HER2+,0,1,1,1,0,0,1,1,0,0,0,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,0,-1,-1,-1,-1,0,2,-1,-1,-1,-1,1,1,1,0,0,0
Array.95,HR+,0,1,1,-1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
Array.17,HER2+,1,-1,-1,1,0,-1,0,1,-1,2,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,-1,-1,-1,0,1,2,0,0,0,-1,0,0,0,0,0,0
Array.33,HR+,1,1,1,0,0,0,0,1,1,0,0,1,-1,-1,-1,-1,1,0,0,1,1,2,2,2,1,0,0,1,1,1,-1,0,0,-1,-1,-1,-1,0,2,0,-1,-1,0,-1,-1,-1
Array.138,HER2+,2,1,1,-1,0,-1,1,1,-1,-1,-1,0,1,1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,-1,2,-1,-1,-1,-1,1,1,1,0,0,0
Array.149,HR+,-1,1,1,-1,1,-1,-1,0,-1,-1,-1,1,1,1,2,2,-1,1,1,1,1,1,1,2,0,0,0,1,1,0,-1,-1,-1,1,1,1,1,1,1,0,0,0,0,-1,-1,-1
Array.101,HR+,0,1,1,-1,0,1,0,1,1,1,1,2,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Array.90,Triple Neg,-1,1,1,-1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,0,1,-1,0,0,0,-1,-1,-1,-1,0,0,-1,0,0,0,0,-1,-1
Array.99,Triple Neg,-1,1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,-1,-1,-1,0,-1,0
Array.57,Triple Neg,-1,1,1,-1,1,0,1,1,1,1,1,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Array.105,HER2+,1,1,1,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,1,0,0,0,1,1,0,0
Array.85,HR+,1,0,0,-1,0,-1,0,0,0,-1,-1,0,1,0,2,2,-1,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,0,-1,0,-1,0,0,1,0,0,0,-1,0,0
Array.114,Triple Neg,0,1,1,-1,1,0,0,0,0,-1,-1,0,-1,0,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1
Array.5,Triple Neg,0,0,0,-1,0,0,1,0,-1,0,0,-1,-1,-1,-1,-1,1,0,0,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,0,0,-1,-1,-1,0,1,1,0,-1,-1,-1,0,0,1
Array.8,HR+,1,1,0,-1,0,0,0,0,-1,0,0,0,-1,2,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
Array.148,HER2+,0,0,0,-1,1,0,0,0,0,0,0,0,-1,-1,1,1,-1,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,0,0,2,2,-1,1,1,1,-1,-1,-1,0,0,0
Array.42,HER2+,1,1,1,0,0,0,0,1,1,1,1,2,-1,-1,1,1,-1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,-1,2,-1,0,0,0,1,1,1,1,-1,-1
Array.102,Triple Neg,-1,1,1,1,1,0,1,1,-1,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0
Array.55,HER2+,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,2,-1,0,0,-1,1,1,1,0,0,-1
Array.43,HR+,-1,0,0,-1,0,0,-1,-1,-1,-1,-1,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0
Array.159,Triple Neg,-1,1,1,1,-1,-1,0,0,0,-1,-1,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,0,0,-1,-1,-1,-1,2,2,1,-1,-1,-1,0,1,0
Array.52,HR+,0,1,0,-1,1,0,0,-1,-1,-1,-1,0,-1,-1,1,2,0,0,0,0,0,1,1,-1,0,0,0,0,0,0,-1,-1,-1,1,2,-1,-1,1,1,0,0,0,0,-1,0,0
Array.152,HER2+,0,0,0,-1,0,-1,0,0,-1,1,1,0,2,2,1,1,-1,0,0,0,0,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,0,0,0,0
Array.50,Triple Neg,1,2,1,-1,2,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1
Array.94,HR+,2,0,0,-1,0,0,0,0,-1,-1,-1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Array.153,Triple Neg,0,1,1,-1,0,-1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,0,-1,-1,-1,1,0,0
Array.51,HER2+,0,1,1,-1,0,0,1,1,1,1,1,0,0,0,-1,-1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,-1,2,1,1,1,0,1,1,1,2,1,1
Array.142,HR+,2,1,1,-1,1,1,1,-1,0,0,0,1,0,0,0,0,-1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,-1,-1
Array.37,HR+,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
Array.18,HER2+,2,1,1,0,0,-1,0,0,-1,-1,-1,0,-1,1,-1,-1,0,0,-1,-1,-1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2,-1,0,0,-1,0,0,0,0,0,0
Array.82,HR+,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,0,0,0,0,0,-1,1,1,0,1,2,1,-1,0,0
Array.75,HER2+,-1,0,-1,-1,-1,-1,0,0,0,0,0,1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,2,-1,0,0,-1,-1,-1,-1,0,0,0
Array.139,HER2+,0,1,1,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,1,1,2,-1,1,1,-1,0,0,0,0,0,0
Array.117,HR+,2,0,0,-1,0,0,0,-1,-1,-1,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
Array.60,HR+,2,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
Array.72,HER2+,1,1,1,-1,-1,0,0,0,-1,0,0,0,-1,1,1,1,-1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,1,1,0,1,0
Array.104,Triple Neg,-1,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Array.111,Triple Neg,0,1,1,0,1,0,1,1,1,2,2,1,-1,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1
Array.53,HER2+,-1,0,0,-1,1,-1,-1,-1,-1,-1,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,-1,2,-1,0,1,-1,0,0,0,1,-1,0
Array.71,Triple Neg,1,1,1,1,1,-1,2,-1,2,-1,-1,-1,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,-1,-1,0,-1,1,1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0
Array.47,Triple Neg,-1,0,0,2,1,-1,0,-1,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,-1,1,0,0,1
Array.107,Triple Neg,2,1,0,-1,1,-1,1,1,0,1,1,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,-1,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,-1
Array.64,Triple Neg,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,1,0
Array.89,HR+,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Array.134,HR+,-1,1,1,-1,1,0,1,1,-1,-1,-1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,-1,1,1,1,1,-1,-1
Array.130,HER2+,2,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,2,-1,0,0,0,-1,-1,-1,0,0,0
