Sample,Subgroup,1:149369522-149394958,5:150224239-152555267,5:152572508-153979903,5:154006451-157875296,6:32732764-32738443,6:39777677-40701218,6:40747924-42826227,6:125139481-126167412,6:131304839-132036965,6:133447975-135173194,8:36426253-36481039,8:36512939-36612488,9:42913008-43066618,11:82599955-82867442,11:83733321-85064586,11:103640528-105452607,11:105458461-107398356,12:9528590-9585156,12:44923991-45851001,12:60060494-62081511,12:63574243-64694907,12:64727853-66012212,12:66035532-66948440,12:70462057-70560603,12:85450052-85962613,12:85986743-87258350,12:87329145-88538415,15:22374850-23389141,15:44193179-48393597,16:2505009-4665784,16:30561643-31835555,16:47717059-48773160,16:67314736-68371045,16:68710277-68751390,16:68880321-69381055,16:69391442-69397102,16:69417987-69744010,16:69763173-70593293,17:35076296-35282086,17:37416931-38029088,17:39280577-40847517,17:41011530-41041674,17:41062669-41447005,17:41458670-41494331,17:43036086-43085236,17:77653668-77696106,17:77704506-78562654,18:48187829-51613228,20:45232779-46038929,22:37683612-37705310,22:41221190-41290227,22:41293579-41298170,22:41307174-41912419,23:3229-45135
Array.33,HR+,1,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,-1,-1,0,0,1,2,2,2,1,0,0,0,1,1,1,1,1,1,-1,0,0,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,0,2,-1,-1,-1,-1,0
Array.138,HER2+,2,0,0,0,1,1,1,-1,-1,-1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,2,-1,-1,0,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0
Array.149,HR+,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,-1,1,1,1,1,1,1,1,1,1,0,1,-1,-1,-1,-1,0
Array.90,Triple Neg,-1,0,0,0,1,0,0,0,0,0,-1,-1,1,0,0,0,0,1,-1,-1,0,0,0,0,-1,-1,0,-1,-1,0,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,-1,0,0,-1,1
Array.99,Triple Neg,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
Array.105,HER2+,1,0,0,0,0,0,0,0,0,0,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,-1,0,0,0,0
Array.85,HR+,1,0,0,0,0,0,0,-1,-1,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,1,1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,0,-1,0,-1,0,0,0,0
Array.56,HR+,-1,0,0,0,0,0,0,-1,-1,-1,1,2,0,0,0,-1,-1,1,0,0,0,0,0,0,0,0,0,-1,-1,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,1,0,-1,0,-1,-1,-1,-1,0
Array.5,Triple Neg,0,-1,-1,-1,0,1,1,1,1,1,-1,-1,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,-1,0,1,0,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,1,1,0,-1,0,0,0,0,1
Array.8,HR+,1,0,0,0,0,-1,0,0,0,0,-1,-1,0,-1,-1,-1,-1,0,0,0,0,0,0,0,1,1,1,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,-1,0,0,0,0
Array.148,HER2+,0,0,0,0,-1,0,0,0,0,0,-1,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,2,-1,-1,-1,-1,-1,-1,1,1,1,2,-1,0,0,0,1
Array.25,Triple Neg,0,-1,-1,-1,0,0,0,1,0,0,-1,-1,-1,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,1,-1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,-1
Array.102,Triple Neg,-1,-1,-1,-1,0,1,1,1,1,-1,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,-1,0,0,0,1
Array.55,HER2+,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,2,-1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,-1,-1,-1,1
Array.152,HER2+,0,-1,-1,-1,0,0,0,1,1,1,2,2,1,-1,2,-1,-1,1,0,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,0
Array.50,Triple Neg,1,0,1,1,1,1,1,2,1,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,-1,1,1,1,1
Array.68,HER2+,-1,0,0,0,0,0,0,0,0,0,-1,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
Array.153,Triple Neg,0,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,0,0,0,0,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,-1,0,0,0,0,0
Array.37,HR+,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0
Array.78,HER2+,1,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,-1,-1,-1,-1,-1,1,1,0,1,-1,-1,-1,-1,0
Array.75,HER2+,-1,-1,-1,-1,-1,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1,1,0,0,0,0,0,0,0,1,1,-1,1,0,0,0,0,-1,0,0,0,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
Array.2,HR+,-1,1,1,1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,1,-1,0,1,0,0,-1,0,0,0,0,1,-1,-1,0,0,0,0,-1,-1,-1,1,0,-1,-1,-1,-1
Array.60,HR+,2,0,0,0,0,0,0,-1,-1,-1,0,0,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0
Array.38,Triple Neg,0,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,1,1,-1,0,-1,-1,-1,-1,-1
Array.72,HER2+,1,0,0,0,0,0,0,0,0,1,-1,-1,0,0,0,0,0,-1,0,0,2,2,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Array.104,Triple Neg,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Array.137,HR+,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0
Array.135,Triple Neg,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0
Array.111,Triple Neg,0,0,0,0,1,1,1,0,0,0,-1,-1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,-1,1,1,1,1
Array.7,HR+,1,1,1,1,0,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,-1,-1,0,-1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,0
Array.21,HER2+,2,0,0,0,1,1,1,0,0,0,-1,-1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,-1,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1
Array.59,HR+,1,0,0,0,-1,0,0,-1,-1,-1,2,2,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0
Array.71,Triple Neg,1,-1,-1,-1,0,0,2,-1,0,0,0,0,0,2,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,1
Array.47,Triple Neg,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,2,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,-1,1,1,1,1,1
Array.107,Triple Neg,2,-1,-1,-1,1,1,1,0,0,0,-1,-1,0,0,0,0,0,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,-1,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0
Array.89,HR+,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Array.30,Triple Neg,-1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,-1,1,1,1,1
Array.35,HR+,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1
Array.10,HER2+,1,0,0,0,0,0,0,-1,1,1,-1,-1,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,-1,-1,-1,-1,0,-1,-1,2,0,1,-1,-1,-1,-1,1
Array.123,HR+,2,0,0,0,0,0,0,-1,-1,-1,0,0,1,0,0,-1,-1,0,0,1,1,2,2,2,1,1,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1,1,-1,1,0,0,0,0,-1
Array.100,HR+,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0
Array.134,HR+,-1,0,0,0,1,1,1,-1,-1,-1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,-1,-1,-1,-1,-1,1,-1,1,1,1,1,1,1,1,1,1,-1,1,-1,-1,-1,-1,0
Array.130,HER2+,2,-1,-1,-1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,-1,-1,-1,-1,-1,-1,0,0,0,2,0,0,0,0,1
