Sample,Subgroup,1:149369522-149394958,1:193480150-193527058,1:199087690-199111062,2:61025070-61061211,3:196908262-196937230,3:196947293-196962380,3:199333505-199383479,5:93328253-96508341,5:142831583-149027600,5:150224239-152555267,6:32718991-32728487,6:32732764-32738443,6:63057692-64614816,6:64633346-64705894,6:64750730-65951879,6:66247043-66553014,6:69820589-70731852,6:131304839-132036965,6:135204537-135259324,6:135286400-135498058,6:135520431-136095714,6:136561135-136680507,8:29281419-29430834,8:35694285-35751327,8:36347029-36416687,8:36512939-36612488,8:37746286-37882239,8:38599339-38743232,8:39013480-39080885,8:39356595-39363050,8:39962335-40121328,8:40125478-40131470,8:48952907-49214104,9:42913008-43066618,11:78137964-78627898,11:79858760-79974644,11:80023540-80218800,11:80263397-80790766,11:81383435-82269855,11:83733321-85064586,12:9528590-9585156,12:64727853-66012212,12:75396411-75693696,12:77023447-82859962,14:21464924-21511829,14:21518235-22000194,14:73106558-73114128,14:103664534-104533357,14:105602756-105630089,15:22374850-23389141,15:32447707-32511475,15:32605086-32654561,16:29560500-29582349,16:29586070-30555422,16:30561643-31835555,16:67314736-68371045,16:68710277-68751390,16:69391442-69397102,16:69763173-70593293,17:35076296-35282086,17:41062669-41447005,17:41983407-42049540,17:58754373-58810867,19:40530071-40556205,20:194755-763411,21:31734621-32578981,22:24876788-26191987,22:28922568-30224848,22:30243922-31511793
Array.102,Triple Neg,-1,-1,1,0,1,1,1,0,-1,-1,0,0,1,1,1,1,-1,1,-1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,-1,0,-1,-1,1,1,-1,-1,-1,0,-1,-1,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0
Array.55,HER2+,-1,-1,-1,1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,-1,-1,2,0,1,1,1,1,1,1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,2,-1,1,0,0,1,0,0,0,-1
Array.43,HR+,-1,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,-1,0,0,0,1,1,0,0,-1,0,0,0,1,1,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
Array.52,HR+,0,1,1,0,1,0,0,0,0,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,0,0,-1,-1,-1,0,0,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,2,0,0,-1,0,0,0
Array.88,Triple Neg,1,-1,-1,1,0,0,0,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,0,0,0,-1,1,1,1,1,1,1,0,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0
Array.125,HER2+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Array.152,HER2+,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,-1,1,1,1,1,1,-1,-1,2,2,0,0,0,2,1,1,1,1,-1,-1,-1,-1,-1,2,1,1,1,1,1,1,0,1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,2,-1,1,0,0,0,0,0,0,0
Array.94,HR+,2,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,-1,-1,-1,2,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-1,2,0,0,0,0
Array.51,HER2+,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,-1,0,0,0,0,0,0,-1,1,1,2,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,1,1,1,0,1,1,1,1,1
Array.37,HR+,1,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,-1,-1
Array.78,HER2+,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,-1,2,0,-1,0,-1,-1,-1
Array.18,HER2+,2,1,0,0,0,0,0,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,-1,0,-1,1,1,1,0,0,0,0,2,-1,-1,0,0,0,0,0,0,0
Array.82,HR+,-1,1,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,-1,-1,-1,0,0,0,1,1,1,1,1,1,1,-1,0,0,-1,1,1,1,0,-1,0,0,0,-1,-1,1,0,1,-1,0,0,0
Array.139,HER2+,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,1,0,-1,-1,-1,-1,2,-1,1,1,0,0,0,0,0,0
Array.2,HR+,-1,1,1,-1,1,1,0,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,0,1,0,0,0,0,0,-1,1,1,0,1,1,1,0,-1,0,0,1,0,-1,1,-1,1,-1,0,-1,-1
Array.117,HR+,2,0,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,-1,0,-1,-1,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,0,0,0,0,0
Array.60,HR+,2,-1,0,0,0,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
Array.104,Triple Neg,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Array.145,Triple Neg,-1,1,1,1,1,1,1,-1,-1,-1,0,0,0,0,0,-1,-1,0,0,0,0,0,-1,-1,-1,-1,0,0,0,-1,0,0,-1,1,1,0,0,0,0,-1,1,-1,-1,-1,1,1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,0,-1,-1,0,0,0,-1,0,0,0,0,0,0
Array.31,Triple Neg,0,0,-1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,2,2,2,2,2,2,0,2,2,0,1,2,2,2,2,2,2,1,0,0,0,0,1,0,0,0,0,0,-1,1,1,1,1,2,1,1,0,0,-1,0,1,1,0,1,1,1
Array.135,Triple Neg,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,-1,0,0,0,1,1,0,0,0,0,0,-1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Array.7,HR+,1,-1,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,1,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,2,-1,0,0,-1,-1,-1
Array.53,HER2+,-1,-1,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,2,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,0,0,0,1,1,2,2
Array.59,HR+,1,0,-1,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,0,0,0,2,2,1,0,-1,-1,-1,-1,-1,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,0,0,0,0,0,0,-1,-1,0,0,0,0
Array.71,Triple Neg,1,1,1,1,1,1,1,-1,-1,-1,0,0,-1,-1,-1,1,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,2,1,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,1,1,0,0,1,0,-1,-1,1,0,0,0
Array.107,Triple Neg,2,1,0,0,1,1,1,-1,-1,-1,1,1,1,1,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,0,0,0,0,0,0,0,1,0,-1,-1,0,0,-1,1,-1,-1,0,0,0,0,0,0,-1,0,1,-1,0,0,0,0,0,0,-1,-1,-1
Array.64,Triple Neg,1,1,0,0,1,1,0,-1,-1,-1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,1,0,0,-1,1,1,0,0
Array.89,HR+,2,1,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
Array.30,Triple Neg,-1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,-1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,2,0,1,0,0,1,1,1
Array.35,HR+,-1,0,-1,0,1,1,0,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,-1
Array.93,Triple Neg,-1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,1,0,0,0,0,0,0,2,0,0,0,1,1,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,2,0,1,1,1,1
Array.10,HER2+,1,1,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,2,1,0,2,2,-1,-1,-1,-1,-1,-1,0,0,0,1,1,1,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,-1,0,0,1,-1,-1,-1
Array.123,HR+,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2,2,0,0,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,1,0,0,-1,-1,0,0
Array.100,HR+,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
